restaurant_name,cuisine,rating,number_of_ratings,average_price,number_of_offers,offer_name,area,pure_veg,location,price_num,ratings_count,primary_cuisine,is_veg,num_offers
Airport City Hotel-Crops,"Indian, Chinese",4.3,10+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,No,Kolkata,200.0,10.0,Indian,0,1
Barir Biryani,"Biryani, Chinese",3.8,100+ ratings,₹250 for two,5,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1200, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",North Dumdum,No,Kolkata,250.0,100.0,Biryani,0,5
Krazy Fire Chicken,Indian,4.4,5 ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,No,Kolkata,200.0,5.0,Indian,0,1
Kafe Kolorov,"Beverages, Chinese",0.0,Too Few Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Rajarhat,No,Kolkata,200.0,0.0,Beverages,0,1
Namaskar Asia,"Asian, Pan-Asian",4.0,50+ ratings,₹200 for two,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹200 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dum Dum,No,Kolkata,200.0,50.0,Asian,0,3
Penguin Inn Pvt Ltd Restaurant,"Chinese, Tandoor",4.0,1K+ ratings,₹250 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Khardaha,No,Kolkata,250.0,1000.0,Chinese,0,1
The 9Th Planet,"Asian, Continental",3.2,10+ ratings,₹400 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Baguiati,No,Kolkata,400.0,10.0,Asian,0,1
Muktar Fast Food Center,Biryani,0.0,Too Few Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chinar Park,No,Kolkata,200.0,0.0,Biryani,0,1
Crave Zone,"Beverages, Snacks",0.0,No Ratings,₹250 for two,3,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belgharia Near sindu stores,Yes,Kolkata,250.0,0.0,Beverages,1,3
Sumanar Ranna Ghar,Indian,0.0,No Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,200.0,0.0,Indian,0,1
Bottles Up,Beverages,4.0,20+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Rajarhat Main Rd,Yes,Kolkata,150.0,20.0,Beverages,1,1
DrinkEat Cafe Shop,"South Indian, Chinese",0.0,Too Few Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,Yes,Kolkata,200.0,0.0,South Indian,1,1
La Mielle,"Bakery, Snacks",3.4,2 ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Lake Town,No,Kolkata,200.0,2.0,Bakery,0,1
Deep Hotel And Restaurant,"Indian, Chinese",4.5,1K+ ratings,₹250 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Hridaypur,No,Kolkata,250.0,1000.0,Indian,0,1
Tripty Vojon,"Chinese, Thalis",2.9,100+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",New Barrakpur,No,Kolkata,200.0,100.0,Chinese,0,1
Burmese Bahar,Burmese,2.2,100+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Barasat,No,Kolkata,300.0,100.0,Burmese,0,1
Jacky'S Crazy Kitchen,"Snacks, Biryani",4.6,20+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,200.0,20.0,Snacks,0,1
